complaint_id,transaction_id,merchant_id,complaint_type,complaint_date
1,39727,194,Wrong item,09-07-2024
2,40332,33,Overcharge,20-03-2025
3,18708,88,Late delivery,27-03-2024
4,19221,12,Poor service,09-07-2025
5,50031,35,Damaged item,15-12-2024
6,54030,70,Damaged item,25-03-2025
7,1587,168,Poor service,25-07-2025
8,11711,11,Late delivery,24-03-2024
9,25194,176,Overcharge,15-11-2024
10,58998,135,Late delivery,03-07-2025
11,13456,85,Poor service,21-08-2024
12,49302,71,Damaged item,20-04-2025
13,33595,104,Damaged item,12-11-2025
14,13879,83,Poor service,06-10-2025
15,57725,149,Poor service,05-01-2024
16,58671,177,Wrong item,06-05-2025
17,1823,55,Late delivery,08-09-2025
18,45178,80,Overcharge,02-11-2025
19,435,119,Late delivery,12-06-2025
20,14449,25,Late delivery,27-09-2024
21,32018,108,Late delivery,11-01-2024
22,23463,129,Late delivery,23-06-2025
23,35888,172,Poor service,21-10-2024
24,33411,137,Overcharge,18-05-2025
25,49661,50,Overcharge,30-05-2025
26,3326,113,Poor service,03-08-2025
27,33441,8,Late delivery,22-10-2025
28,18950,71,Wrong item,13-09-2024
29,17237,115,Overcharge,10-05-2025
30,29249,197,Damaged item,12-09-2024
31,7761,73,Poor service,24-06-2025
32,34115,67,Damaged item,07-06-2024
33,56687,127,Poor service,27-10-2025
34,37832,185,Late delivery,20-12-2025
35,40137,141,Damaged item,29-08-2025
36,38417,108,Poor service,14-11-2025
37,59865,56,Damaged item,14-05-2025
38,42243,169,Late delivery,28-06-2025
39,21313,164,Wrong item,01-06-2025
40,59928,65,Late delivery,29-09-2024
41,36783,49,Wrong item,18-02-2025
42,11110,190,Late delivery,10-06-2025
43,44877,132,Wrong item,12-10-2025
44,53992,117,Damaged item,12-01-2024
45,25833,164,Wrong item,10-11-2024
46,40248,95,Overcharge,19-06-2025
47,27851,78,Late delivery,14-11-2024
48,53659,10,Late delivery,17-01-2025
49,29196,71,Damaged item,08-03-2024
50,7228,36,Late delivery,26-06-2025
51,6217,36,Damaged item,16-06-2025
52,12356,114,Overcharge,06-04-2024
53,1361,41,Wrong item,25-06-2024
54,38704,12,Overcharge,02-02-2025
55,49966,156,Overcharge,10-01-2024
56,26091,72,Damaged item,04-01-2025
57,48569,21,Poor service,02-05-2024
58,48112,43,Overcharge,09-02-2024
59,53189,58,Late delivery,25-02-2024
60,23256,47,Damaged item,07-08-2025
61,31343,183,Late delivery,08-03-2025
62,22281,18,Damaged item,04-05-2024
63,15894,124,Late delivery,28-05-2025
64,3888,118,Wrong item,29-03-2024
65,12248,194,Wrong item,11-12-2025
66,46118,46,Damaged item,05-10-2025
67,30768,96,Damaged item,28-05-2025
68,33819,140,Poor service,28-05-2025
69,28086,160,Wrong item,01-07-2024
70,26755,94,Damaged item,20-01-2025
71,2626,156,Wrong item,11-01-2025
72,50771,68,Damaged item,08-11-2025
73,18167,39,Late delivery,24-12-2024
74,9726,61,Late delivery,25-11-2025
75,44913,44,Overcharge,27-07-2024
76,47515,86,Late delivery,03-06-2024
77,3282,69,Poor service,18-09-2025
78,22754,56,Late delivery,20-04-2025
79,3700,3,Late delivery,25-11-2024
80,17797,63,Late delivery,21-07-2024
81,57340,111,Wrong item,18-07-2024
82,6365,128,Late delivery,01-05-2024
83,15752,134,Wrong item,19-05-2025
84,46613,118,Late delivery,05-11-2024
85,35706,179,Damaged item,19-11-2024
86,55750,50,Wrong item,31-08-2024
87,56717,149,Overcharge,20-02-2024
88,57805,7,Poor service,27-05-2024
89,43590,67,Poor service,28-07-2024
90,43047,190,Late delivery,12-09-2024
91,49277,63,Overcharge,15-01-2025
92,2504,155,Overcharge,23-07-2025
93,6009,45,Late delivery,12-06-2025
94,52847,63,Overcharge,21-12-2025
95,19636,57,Late delivery,27-07-2025
96,26010,125,Poor service,05-12-2025
97,16088,145,Overcharge,28-03-2025
98,6309,192,Damaged item,19-12-2024
99,29396,100,Wrong item,07-09-2025
100,29345,147,Damaged item,30-10-2024
101,7466,123,Damaged item,14-05-2025
102,11554,190,Wrong item,11-05-2024
103,14285,114,Overcharge,28-10-2025
104,6609,67,Wrong item,04-10-2024
105,57728,143,Overcharge,26-05-2025
106,57093,23,Overcharge,03-03-2025
107,49084,87,Poor service,05-06-2024
108,8106,110,Late delivery,26-04-2025
109,12062,194,Wrong item,08-02-2025
110,16477,147,Poor service,10-02-2024
