customer_id,age,city,segment,join_date
1,23,Mumbai,Regular,27-10-2021
2,43,Delhi,Regular,29-09-2023
3,51,Pune,Premium,03-02-2023
4,62,Chennai,Student,06-09-2021
5,23,Pune,Regular,05-06-2022
6,54,London,Premium,03-02-2021
7,50,Dubai,Regular,16-08-2021
8,39,Dubai,Regular,08-08-2022
9,38,New York,Student,23-11-2024
10,23,Mumbai,Premium,16-08-2023
11,23,New York,Regular,24-03-2023
12,21,London,Premium,25-12-2022
13,47,Pune,Premium,07-08-2022
14,28,Dubai,Regular,24-07-2022
15,47,Hyderabad,Regular,08-08-2021
16,48,Pune,Regular,26-10-2024
17,41,Pune,Regular,26-02-2023
18,26,London,Premium,12-06-2022
19,20,Chennai,Regular,16-03-2021
20,48,Delhi,Premium,16-05-2021
21,57,Singapore,Premium,15-03-2021
22,54,Singapore,Regular,11-09-2021
23,53,London,Regular,08-11-2023
24,41,Delhi,Premium,19-10-2023
25,48,Dubai,Regular,03-12-2023
26,23,London,Premium,19-02-2021
27,19,Delhi,Premium,30-05-2022
28,37,New York,Regular,14-01-2023
29,45,London,Premium,01-01-2023
30,28,Dubai,Regular,25-07-2022
31,21,London,Premium,30-07-2022
32,32,Dubai,Regular,19-08-2024
33,23,London,Premium,11-03-2024
34,47,Delhi,Premium,22-06-2023
35,55,Chennai,Regular,21-07-2021
36,19,Kolkata,Student,26-07-2021
37,32,Delhi,Premium,19-02-2022
38,28,Mumbai,Regular,09-08-2021
39,25,Bangalore,Regular,17-10-2024
40,43,Chennai,Regular,28-01-2023
41,62,New York,Regular,10-01-2024
42,61,Pune,Premium,02-02-2023
43,22,Singapore,Student,17-07-2022
44,23,Delhi,Regular,01-08-2024
45,43,London,Regular,04-01-2022
46,21,Delhi,Student,15-06-2023
47,36,Hyderabad,Regular,01-10-2024
48,37,Chennai,Regular,23-07-2021
49,50,Kolkata,Regular,15-11-2023
50,37,New York,Regular,15-08-2023
51,29,Hyderabad,Premium,10-03-2021
52,64,Dubai,Regular,31-05-2022
53,18,Hyderabad,Premium,28-08-2021
54,43,Delhi,Regular,27-12-2021
55,31,New York,Student,21-11-2023
56,55,Delhi,Regular,08-12-2022
57,54,Dubai,Regular,21-11-2022
58,28,Pune,Premium,19-10-2022
59,53,New York,Premium,07-09-2024
60,30,Pune,Student,10-12-2021
61,60,Chennai,Premium,20-06-2022
62,20,Chennai,Regular,21-12-2021
63,50,Pune,Regular,17-07-2023
64,23,Chennai,Student,10-09-2023
65,27,New York,Regular,15-04-2021
66,22,London,Regular,07-09-2024
67,40,Mumbai,Regular,20-08-2023
68,27,Chennai,Student,11-06-2022
69,61,Chennai,Regular,19-05-2022
70,19,Delhi,Regular,14-01-2024
71,30,Pune,Premium,20-07-2023
72,57,Bangalore,Premium,10-12-2022
73,19,Kolkata,Regular,23-08-2021
74,37,Singapore,Student,10-07-2024
75,18,Singapore,Student,27-10-2023
76,54,Hyderabad,Student,09-05-2022
77,26,Chennai,Regular,05-08-2024
78,34,Hyderabad,Regular,28-05-2023
79,26,New York,Regular,05-10-2024
80,28,Bangalore,Regular,08-05-2024
81,32,Kolkata,Regular,25-08-2023
82,41,Pune,Regular,24-08-2023
83,55,Mumbai,Student,22-08-2023
84,52,Kolkata,Premium,16-06-2023
85,47,Kolkata,Student,20-09-2024
86,48,Mumbai,Premium,05-08-2021
87,22,London,Regular,15-09-2022
88,61,Pune,Regular,19-12-2021
89,31,Delhi,Regular,23-11-2022
90,28,Hyderabad,Regular,06-11-2022
91,26,Singapore,Student,23-09-2022
92,51,Chennai,Regular,21-11-2021
93,29,Kolkata,Premium,20-06-2023
94,52,New York,Regular,05-06-2024
95,52,Singapore,Premium,14-03-2024
96,18,Singapore,Premium,04-11-2021
97,57,Mumbai,Regular,16-10-2022
98,39,Hyderabad,Student,12-10-2021
99,46,Bangalore,Regular,27-01-2022
100,25,Mumbai,Regular,26-12-2021
101,28,Bangalore,Regular,08-02-2023
102,58,Pune,Premium,08-03-2023
103,54,Kolkata,Student,21-07-2023
104,31,New York,Regular,14-06-2021
105,47,Singapore,Student,03-01-2023
106,52,Chennai,Premium,04-08-2022
107,38,Bangalore,Premium,01-04-2023
108,54,Hyderabad,Student,01-06-2024
109,22,London,Regular,04-05-2021
110,36,Pune,Premium,10-12-2021
111,31,London,Premium,08-06-2022
112,43,Pune,Regular,12-12-2023
113,21,Delhi,Regular,09-05-2021
114,42,Hyderabad,Regular,04-03-2024
115,62,Singapore,Regular,19-10-2022
116,59,London,Regular,25-02-2024
117,42,New York,Student,08-01-2023
118,35,Kolkata,Premium,28-07-2023
119,57,Mumbai,Regular,12-03-2021
120,25,Chennai,Regular,30-09-2021
121,56,Kolkata,Premium,25-04-2024
122,57,Singapore,Regular,24-10-2023
123,31,Kolkata,Regular,01-08-2024
124,49,Pune,Regular,22-01-2021
125,55,New York,Regular,15-06-2021
126,50,Singapore,Regular,26-08-2024
127,40,Pune,Regular,25-05-2023
128,32,Dubai,Regular,13-05-2022
129,50,Bangalore,Regular,10-03-2022
130,42,Chennai,Premium,28-01-2023
131,34,Bangalore,Regular,22-08-2021
132,50,Mumbai,Student,17-04-2023
133,64,Dubai,Regular,25-10-2022
134,19,Hyderabad,Regular,26-12-2022
135,31,Mumbai,Regular,11-01-2022
136,57,Mumbai,Student,31-12-2022
137,57,Delhi,Student,23-06-2024
138,56,Chennai,Premium,30-10-2021
139,23,Pune,Regular,09-02-2022
140,23,New York,Regular,09-12-2022
141,20,Bangalore,Regular,06-07-2023
142,24,Mumbai,Premium,21-01-2021
143,25,Bangalore,Regular,14-09-2021
144,59,Bangalore,Premium,03-02-2022
145,32,Hyderabad,Regular,20-02-2021
146,64,Singapore,Regular,23-03-2022
147,46,Chennai,Premium,17-07-2024
148,50,Chennai,Student,07-04-2023
149,47,London,Regular,18-08-2022
150,56,Kolkata,Regular,29-03-2023
151,44,Chennai,Regular,28-09-2022
152,53,Bangalore,Premium,09-07-2024
153,46,Pune,Regular,20-10-2024
154,55,Bangalore,Premium,09-12-2023
155,50,Pune,Regular,16-02-2024
156,54,Singapore,Regular,14-02-2023
157,44,Singapore,Premium,31-08-2023
158,50,London,Student,01-02-2022
159,21,Pune,Premium,14-11-2022
160,39,Chennai,Student,17-11-2023
161,19,Hyderabad,Premium,12-12-2022
162,27,Pune,Regular,27-10-2024
163,22,Singapore,Premium,26-01-2024
164,27,Bangalore,Regular,13-06-2022
165,50,New York,Regular,16-11-2022
166,55,Chennai,Premium,05-09-2022
167,30,New York,Regular,05-07-2021
168,48,Dubai,Regular,27-11-2022
169,64,Dubai,Regular,03-08-2021
170,53,Bangalore,Student,28-06-2024
171,62,Dubai,Regular,04-08-2021
172,41,Kolkata,Premium,29-01-2021
173,32,Singapore,Premium,12-04-2021
174,46,London,Regular,03-05-2021
175,25,Chennai,Regular,23-02-2021
176,22,New York,Regular,30-07-2024
177,46,Bangalore,Premium,15-02-2024
178,64,Kolkata,Regular,08-09-2022
179,21,Bangalore,Student,11-07-2022
180,29,Kolkata,Premium,24-04-2021
181,62,Singapore,Regular,05-05-2023
182,19,Dubai,Regular,07-11-2022
183,44,Dubai,Regular,04-09-2023
184,48,Singapore,Regular,02-12-2022
185,53,Singapore,Regular,09-08-2024
186,53,Pune,Student,03-05-2024
187,43,Delhi,Premium,19-10-2021
188,60,Singapore,Regular,18-09-2021
189,44,Bangalore,Premium,15-05-2024
190,22,Pune,Regular,18-07-2022
191,37,Chennai,Regular,18-02-2021
192,28,Pune,Regular,27-10-2023
193,27,Mumbai,Premium,14-01-2022
194,57,Dubai,Regular,18-11-2024
195,55,Mumbai,Regular,12-08-2021
196,23,Bangalore,Regular,13-11-2023
197,25,New York,Regular,05-10-2023
198,40,New York,Regular,19-10-2022
199,64,Singapore,Student,20-04-2021
200,43,Chennai,Regular,25-12-2022
201,63,Pune,Regular,07-07-2022
202,60,New York,Regular,23-11-2024
203,29,Kolkata,Premium,10-04-2024
204,43,Singapore,Premium,03-10-2023
205,30,Kolkata,Regular,29-11-2022
206,57,Chennai,Regular,27-12-2022
207,35,London,Student,02-11-2021
208,42,Dubai,Student,17-08-2023
209,50,Pune,Regular,12-08-2023
210,64,Singapore,Regular,20-03-2024
211,57,Bangalore,Regular,22-12-2024
212,60,Hyderabad,Regular,13-09-2022
213,29,Hyderabad,Regular,22-09-2022
214,61,Hyderabad,Regular,27-05-2023
215,53,New York,Regular,10-07-2022
216,21,London,Premium,08-03-2021
217,22,London,Regular,25-03-2024
218,54,Pune,Premium,15-04-2023
219,25,Pune,Regular,25-07-2021
220,59,London,Premium,25-02-2023
221,45,Chennai,Regular,04-06-2021
222,48,Pune,Regular,03-01-2024
223,26,Chennai,Regular,09-12-2023
224,46,Singapore,Regular,22-02-2023
225,31,Mumbai,Regular,08-08-2022
226,57,Kolkata,Regular,09-12-2022
227,58,Dubai,Regular,28-06-2021
228,39,Singapore,Regular,08-12-2023
229,28,Pune,Regular,01-01-2024
230,40,London,Regular,23-04-2021
231,18,Kolkata,Premium,27-01-2023
232,63,Kolkata,Regular,16-06-2023
233,54,Delhi,Student,01-04-2023
234,38,Singapore,Premium,08-06-2021
235,43,London,Regular,25-02-2023
236,63,Dubai,Regular,20-11-2023
237,53,London,Regular,26-01-2024
238,40,Pune,Premium,08-09-2021
239,18,Bangalore,Regular,21-01-2024
240,57,Mumbai,Premium,23-04-2021
241,32,Chennai,Premium,16-09-2021
242,38,Bangalore,Regular,17-04-2021
243,64,Mumbai,Regular,29-07-2022
244,26,Bangalore,Student,14-11-2024
245,26,Chennai,Premium,18-09-2023
246,27,New York,Regular,13-10-2024
247,43,London,Premium,07-05-2024
248,58,Bangalore,Regular,03-03-2022
249,52,Pune,Student,09-05-2023
250,42,Dubai,Student,07-07-2023
251,43,Singapore,Premium,18-02-2024
252,28,Hyderabad,Regular,25-08-2024
253,55,Pune,Regular,19-09-2022
254,19,Chennai,Premium,20-04-2022
255,24,Dubai,Premium,06-07-2022
256,35,Pune,Student,10-12-2021
257,44,Kolkata,Student,20-09-2022
258,51,London,Student,16-05-2021
259,44,Dubai,Regular,04-10-2021
260,34,Kolkata,Regular,31-01-2021
261,60,Pune,Regular,04-09-2021
262,61,Mumbai,Premium,15-02-2022
263,41,Delhi,Premium,27-01-2021
264,42,Mumbai,Regular,14-03-2021
265,24,London,Regular,26-01-2024
266,23,Dubai,Regular,04-11-2022
267,41,Dubai,Student,01-10-2024
268,50,London,Student,21-04-2022
269,46,Kolkata,Student,16-08-2024
270,60,Delhi,Premium,15-08-2024
271,39,Pune,Regular,14-10-2021
272,43,Singapore,Regular,31-07-2021
273,45,Chennai,Premium,05-01-2024
274,38,Mumbai,Student,05-02-2022
275,24,Mumbai,Student,17-10-2022
276,34,Hyderabad,Premium,24-11-2023
277,37,Delhi,Premium,13-05-2022
278,58,Chennai,Regular,28-04-2023
279,37,Mumbai,Regular,13-09-2024
280,39,Chennai,Student,08-04-2021
281,45,Singapore,Premium,01-01-2022
282,57,Pune,Premium,08-04-2022
283,24,Dubai,Premium,28-01-2021
284,18,Chennai,Premium,14-12-2022
285,49,Mumbai,Premium,10-11-2024
286,30,Kolkata,Student,30-09-2021
287,47,Delhi,Regular,06-04-2023
288,40,London,Regular,25-02-2024
289,36,Bangalore,Premium,21-07-2021
290,49,New York,Premium,03-08-2024
291,47,New York,Regular,26-03-2022
292,46,Bangalore,Regular,17-01-2024
293,62,Chennai,Regular,03-09-2024
294,46,Delhi,Regular,19-01-2021
295,47,Chennai,Regular,05-02-2024
296,33,Singapore,Regular,07-11-2021
297,57,Singapore,Regular,16-02-2022
298,36,Singapore,Regular,12-01-2023
299,35,London,Premium,16-09-2022
300,18,Delhi,Regular,02-01-2023
301,31,Bangalore,Premium,27-09-2022
302,64,Singapore,Regular,13-05-2022
303,19,Singapore,Student,01-09-2021
304,45,Chennai,Regular,21-11-2022
305,47,Hyderabad,Regular,31-07-2022
306,55,Mumbai,Student,04-11-2024
307,21,Kolkata,Regular,30-05-2022
308,18,Dubai,Premium,26-07-2021
309,25,Kolkata,Premium,06-08-2023
310,46,London,Regular,29-01-2022
311,56,Chennai,Regular,11-11-2023
312,20,Pune,Regular,28-09-2024
313,49,Singapore,Regular,19-12-2022
314,27,Delhi,Student,21-07-2021
315,27,Chennai,Premium,30-04-2021
316,36,Delhi,Regular,24-01-2022
317,63,Dubai,Premium,22-08-2021
318,51,Hyderabad,Regular,25-08-2022
319,50,Kolkata,Premium,05-09-2024
320,40,Mumbai,Regular,13-12-2022
321,45,Dubai,Premium,09-09-2023
322,49,Dubai,Regular,18-04-2024
323,24,Kolkata,Regular,07-05-2023
324,46,Dubai,Regular,23-10-2024
325,25,Pune,Regular,17-03-2021
326,18,Pune,Regular,11-10-2022
327,20,New York,Regular,12-10-2022
328,41,New York,Regular,11-05-2022
329,40,Pune,Premium,09-05-2024
330,25,Bangalore,Regular,10-04-2023
331,64,Hyderabad,Premium,01-10-2024
332,54,Delhi,Premium,28-04-2022
333,20,Hyderabad,Regular,27-05-2024
334,50,London,Regular,20-12-2023
