transaction_id,customer_id,merchant_id,amount,transaction_date,is_fraud,is_refund
1,301,4,1338.9,22-05-2024,0,0
2,4645,118,1133.56,23-11-2024,0,0
3,3765,16,4992.67,19-09-2025,0,0
4,4714,191,6322.72,11-01-2025,0,1
5,4318,126,4810.65,30-03-2024,0,0
6,4444,145,3318.47,11-02-2024,0,0
7,691,19,2284.82,04-02-2024,0,0
8,3919,79,682.68,08-05-2025,0,0
9,1195,7,2823.04,06-07-2025,0,0
10,294,66,2413.6,03-05-2024,0,0
11,2240,55,6715.09,26-02-2024,0,0
12,3172,123,882.7,31-03-2025,0,0
13,2854,104,6738.85,22-08-2024,1,1
14,3911,173,1713.41,30-08-2025,0,0
15,31,200,2767.51,26-01-2025,0,0
16,4702,120,1904.54,06-05-2025,0,0
17,4878,129,2029.21,08-12-2024,0,0
18,4148,17,7692.65,05-10-2025,0,0
19,3973,167,1774.19,24-06-2024,0,0
20,2858,8,1007.29,21-02-2024,0,0
21,4446,57,1976.09,03-07-2025,0,0
22,3591,85,417,22-04-2025,0,1
23,4854,50,1663.57,03-05-2025,0,0
24,714,55,3156.49,05-01-2024,0,0
25,610,26,2718.19,25-12-2025,0,0
26,4029,181,1582.13,23-09-2025,0,0
27,1505,33,412.79,27-07-2024,0,0
28,2623,158,759.81,04-08-2024,0,0
29,3232,94,3254.96,19-06-2025,0,0
30,4959,164,6608.63,07-12-2024,0,0
31,655,21,1957.52,17-12-2025,0,0
32,2940,41,490.59,04-02-2025,0,0
33,151,165,2994.85,06-04-2025,0,0
34,1979,149,3727.11,30-12-2025,0,0
35,3607,157,7645.23,29-07-2024,0,0
36,3811,8,1880.56,26-01-2024,0,0
37,1818,180,2016.81,08-09-2024,0,0
38,753,167,3734.97,03-01-2024,0,1
39,1192,69,1851.99,02-01-2024,0,0
40,4724,14,2647.17,26-08-2025,0,0
41,2995,85,4257.86,02-01-2024,0,0
42,2727,166,1151.28,29-05-2024,0,1
43,3674,120,2570.91,05-08-2025,0,0
44,4996,128,4012.92,04-01-2024,0,0
45,3410,143,5038.38,11-05-2025,0,0
46,1891,158,2492.11,03-07-2025,0,0
47,111,71,1195.25,12-04-2025,0,0
48,977,27,893.9,10-03-2024,0,0
49,3768,200,4714.82,19-07-2024,0,0
50,1435,35,3232.95,03-11-2024,0,0
51,4277,169,4328.66,08-09-2024,0,0
52,4463,181,2580.38,13-10-2024,0,0
53,2222,61,2649.76,18-10-2024,0,0
54,2134,125,2630.3,02-06-2024,0,0
55,1707,125,1562.47,12-05-2024,1,1
56,1630,45,7620.56,08-08-2025,0,0
57,3725,158,2303.23,30-09-2024,0,0
58,4527,91,4592.47,27-11-2025,0,0
59,4754,129,262.79,23-05-2025,0,0
60,4360,161,1043.94,18-12-2024,0,0
61,4265,123,1647.35,05-01-2024,0,0
62,4413,135,3943.25,19-10-2024,0,0
63,2452,107,5190.45,25-12-2024,0,0
64,213,190,325.02,20-08-2025,0,1
65,4064,150,3046.11,01-08-2024,0,0
66,634,51,2358.22,09-02-2025,0,0
67,3010,69,7127.83,11-03-2025,0,0
68,1385,85,3592.22,15-01-2024,0,0
69,672,55,960.08,29-09-2024,0,0
70,2171,114,662.23,16-07-2025,0,0
71,1046,31,1021.45,14-02-2024,0,0
72,3290,54,942.08,03-12-2025,0,0
73,2601,27,1478.7,25-09-2025,0,0
74,877,172,7573.24,15-02-2025,0,0
75,394,79,3520.82,05-07-2024,0,0
76,2572,87,4475.54,26-12-2025,0,0
77,1769,60,3388.03,22-10-2025,0,0
78,233,53,7644.45,18-06-2024,0,0
79,4384,145,1634.16,21-12-2025,0,0
80,3570,36,3704.96,16-08-2025,0,0
81,2424,66,3663.4,04-02-2025,1,0
82,4810,2,2753.31,08-12-2025,0,0
83,832,97,2311.62,02-09-2024,0,0
84,87,117,2740.06,05-07-2025,0,0
85,1909,113,2281.62,10-11-2025,1,1
86,2218,20,2931.35,12-02-2024,0,0
87,1235,10,538.29,23-12-2025,0,0
88,493,197,2981.55,27-06-2024,0,0
89,1982,58,812.69,01-04-2025,0,0
90,22,47,2105.37,18-06-2025,0,0
91,3878,191,3399.35,29-08-2025,0,0
92,4128,167,4249.93,02-11-2025,0,0
93,3383,62,7202.8,31-08-2024,0,0
94,345,60,2565.02,17-01-2024,0,0
95,1161,73,3425.96,21-04-2024,0,0
96,484,74,4068.36,06-09-2025,0,0
97,4018,32,226.89,20-08-2025,0,0
98,1829,191,3308.22,30-06-2025,0,1
99,1885,39,2080.67,30-01-2024,0,0
100,3500,146,2317.38,10-07-2024,1,0
101,3054,24,2967.36,12-03-2025,0,0
102,316,2,4735.06,27-06-2024,0,0
103,4863,144,2590.26,07-09-2025,0,0
104,1877,179,5734.71,07-11-2025,0,0
105,2636,84,1922.71,18-04-2025,0,0
106,2330,54,1947.69,25-09-2025,0,0
107,4131,184,8898.95,13-05-2024,0,1
